site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
NSABBS0001-58580,NSABBS0001,2018-05-11T10:11:00Z,BBS,HIL,FAN,3,45,SA,,58580,2018-05-11T15:21:54Z,2018-05-11T15:21:54Z,n/a,X,n/a,ND,3,2,DRY,DRY,1,31,1,688147,6537651,55,GDA94,"",PA,"",TRUE,TRUE,TRUE,-31.281189,148.976552,SW,NSW,2018-05-11,1,148.976552,-31.281189
NSABBS0002-58555,NSABBS0002,2018-05-12T13:41:09Z,BBS,HIL,HSL,6,45,SA,NC,58555,2018-05-12T13:41:09Z,2018-05-12T13:41:09Z,NC,2,NC,ND,2,1M,WET,DRY,1,31,1,689781,6537804,55,GDA94,TABLET,P,"",TRUE,TRUE,TRUE,-31.2794527777778,148.992461111111,SW,NSW,2018-05-12,1,148.992461111111,-31.2794527777778
NSABBS0003-58581,NSABBS0003,2018-05-13T11:11:00Z,BBS,PLA,PLA,0,"",,n/a,58581,2018-05-13T15:25:40Z,2018-05-13T15:25:40Z,W,1,S,ND,2,2,DRY,DRY,1,31,1,713809.693,6628728.976,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4546472222222,149.226827777778,SW,NSW,2018-05-13,1,149.226827777778,-30.4546472222222
NSABBS0004-58556,NSABBS0004,2018-05-14T11:40:15Z,BBS,PLA,PLA,0,"",,n/a,58556,2018-05-14T11:40:15Z,2018-05-14T11:40:15Z,n/a,0,n/a,ND,2,2,DRY,DRY,1,31,1,715724.694,6627992.718,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4609638888889,149.246894444444,SW,NSW,2018-05-14,1,149.246894444444,-30.4609638888889
NSABBS0005-58582,NSABBS0005,2018-05-15T12:06:00Z,BBS,PLA,PLA,0,"",,,58582,2018-05-15T09:52:21Z,2018-05-15T09:52:21Z,n/a,0,n/a,NH,2,2,DRY,DRY,1,31,1,718823.328,6623746.665,55,GDA94,TABLET,PA,"",TRUE,FALSE,TRUE,-30.4987833333333,149.279986111111,SW,NSW,2018-05-15,1,149.279986111111,-30.4987833333333
NSABBS0006-58557,NSABBS0006,2018-05-15T15:49:17Z,BBS,PLA,PLA,0,"",,NC,58557,2018-05-15T15:49:17Z,2018-05-15T15:49:17Z,n/a,0,n/a,ND,3,2,DRY,DRY,1,31,1,717572.23,6622479.512,55,WGS84,TABLET,PA,"",TRUE,FALSE,TRUE,-30.5102722222222,149.267288888889,SW,NSW,2018-05-15,1,149.267288888889,-30.5102722222222
NSABHC0001-53596,NSABHC0001,2012-05-29T00:00:00Z,BHC,RIS,FOO,2,225,,,53596,2012-05-29T00:00:00Z,2012-05-29T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,541017.94,6471303.4719,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8933505555556,141.433754444444,SW,NSW,2012-05-29,1,141.433754444444,-31.8933505555556
NSABHC0002-53597,NSABHC0002,2012-05-31T00:00:00Z,BHC,RIS,PLA,3,225,,,53597,2012-05-31T00:00:00Z,2012-05-31T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,540928,6467571,54,WGS84,GPS,P,"",TRUE,FALSE,FALSE,-31.9270269444444,141.432960833333,SW,NSW,2012-05-31,1,141.432960833333,-31.9270269444444
NSABHC0003-53598,NSABHC0003,2012-06-04T00:00:00Z,BHC,NC,PLA,"","",NC,NC,53598,2012-06-04T00:00:00Z,2012-06-04T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,541073,6478467,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8287208333333,141.434033611111,SW,NSW,2012-06-04,1,141.434033611111,-31.8287208333333
NSABHC0004-53599,NSABHC0004,2012-06-06T00:00:00Z,BHC,PLA,PLA,"","",NC,NC,53599,2012-06-06T00:00:00Z,2012-06-06T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,589699.9932,6476100.4883,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8472788888889,141.9480675,SW,NSW,2012-06-06,1,141.9480675,-31.8472788888889
NSABHC0005-53600,NSABHC0005,2012-07-30T00:00:00Z,BHC,NC,PLA,"","",NC,NC,53600,2012-07-30T00:00:00Z,2012-07-30T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,588986,6476364,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8449577777778,141.940497777778,SW,NSW,2012-07-30,1,141.940497777778,-31.8449577777778
NSABHC0006-53601,NSABHC0006,2012-08-01T00:00:00Z,BHC,PLA,PLA,"","",NC,NC,53601,2012-08-01T00:00:00Z,2012-08-01T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,573987,6472132,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8842083333333,141.782308888889,SW,NSW,2012-08-01,1,141.782308888889,-31.8842083333333
NSABHC0007-53602,NSABHC0007,2012-08-02T00:00:00Z,BHC,NC,NC,"","",NC,NC,53602,2012-08-02T00:00:00Z,2012-08-02T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,572283,6470268,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.9011336111111,141.764431944444,SW,NSW,2012-08-02,1,141.764431944444,-31.9011336111111
NSABHC0008-53603,NSABHC0008,2012-08-31T00:00:00Z,BHC,NC,SAP,"","",NC,NC,53603,2012-08-31T00:00:00Z,2012-08-31T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,550011,6472087,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8859216666667,141.52881,SW,NSW,2012-08-31,1,141.52881,-31.8859216666667
NSABHC0009-53604,NSABHC0009,2012-09-03T00:00:00Z,BHC,RIS,RES,"","",NC,NC,53604,2012-09-03T00:00:00Z,2012-09-03T00:00:00Z,R,1,S,Z,4,0,"","",22,7,7,566520,6561297,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2012-09-03,1,141.697368611111,-31.0802347222222
NSABHC0009-58026,NSABHC0009,2012-09-03T00:00:00Z,BHC,RIS,RES,"","",NC,NC,58026,2016-09-13T11:11:06Z,2016-09-13T11:11:06Z,R,1,S,Z,4,0,WET,FFR,1,11,1,,,54,WGS84,"",NC,"",TRUE,FALSE,TRUE,-31.0802347222222,141.697368611111,SW,NSW,2016-09-13,2,141.697368611111,-31.0802347222222
NSABHC0010-53605,NSABHC0010,2012-09-04T00:00:00Z,BHC,RIS,RES,"","",NC,NC,53605,2012-09-04T00:00:00Z,2012-09-04T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,566803,6561685,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0767180555556,141.700309722222,SW,NSW,2012-09-04,1,141.700309722222,-31.0767180555556
NSABHC0011-53606,NSABHC0011,2012-09-18T00:00:00Z,BHC,PLA,STP,"","",NC,NC,53606,2012-09-18T00:00:00Z,2012-09-18T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,564717,6567395,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0253161111111,141.6780775,SW,NSW,2012-09-18,1,141.6780775,-31.0253161111111
NSABHC0012-53607,NSABHC0012,2012-09-19T00:00:00Z,BHC,ALP,PLA,"","",NC,NC,53607,2012-09-19T00:00:00Z,2012-09-19T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,570693,6561344,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.0795666666667,141.741110277778,SW,NSW,2012-09-19,1,141.741110277778,-31.0795666666667
NSABHC0012-58022,NSABHC0012,2012-09-19T00:00:00Z,BHC,ALP,PLA,"","",NC,NC,58022,2016-09-15T09:49:34Z,2016-09-15T09:49:34Z,n/a,0,n/a,N,3,1L,WET,FFR,1,11,1,,,54,WGS84,"",NC,"",TRUE,FALSE,TRUE,-31.0795666666667,141.741110277778,SW,NSW,2016-09-15,2,141.741110277778,-31.0795666666667
NSABHC0013-53608,NSABHC0013,2012-09-20T00:00:00Z,BHC,RIS,RES,"","",NC,NC,53608,2012-09-20T00:00:00Z,2012-09-20T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,557162,6534343,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.3239188888889,141.600803055556,SW,NSW,2012-09-20,1,141.600803055556,-31.3239188888889
NSABHC0014-53609,NSABHC0014,2012-09-21T00:00:00Z,BHC,HIL,FOO,"","",NC,NC,53609,2012-09-21T00:00:00Z,2012-09-21T00:00:00Z,NC,NC,NC,NC,7,NC,"","",22,7,7,556269,6533546,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.3311533333333,141.5914625,SW,NSW,2012-09-21,1,141.5914625,-31.3311533333333
NSABHC0015-57104,NSABHC0015,2013-02-05T00:00:00Z,BHC,PLA,PLA,"","",,NC,57104,2013-02-05T00:00:00Z,2013-02-05T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,,,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-31.83394,141.05925,SW,NSW,2013-02-05,1,141.05925,-31.83394
NSABHC0016-57105,NSABHC0016,2013-12-06T00:00:00Z,BHC,PLA,PLA,0,"",,NC,57105,2013-12-06T00:00:00Z,2013-12-06T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,505820,6477968,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-31.8340347222222,141.0614425,SW,NSW,2013-12-06,1,141.0614425,-31.8340347222222
NSABHC0017-57106,NSABHC0017,2013-02-07T00:00:00Z,BHC,LOW,PLA,2,270,,,57106,2013-02-07T00:00:00Z,2013-02-07T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,,,,"","",P,"",TRUE,FALSE,FALSE,-31.8433097222222,141.192628888889,SW,NSW,2013-02-07,1,141.192628888889,-31.8433097222222
NSABHC0018-57077,NSABHC0018,2013-03-13T00:00:00Z,BHC,ALP,PLA,1,220,UC,UC,57077,2013-03-13T13:40:00Z,2013-03-13T14:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,599260,6431467.29,54,WGS84,GPS,P,"",TRUE,FALSE,TRUE,-32.249087,142.0537,SW,NSW,2013-03-13,1,142.0537,-32.249087
NSABHC0019-57078,NSABHC0019,2013-03-15T00:00:00Z,BHC,ALP,PLA,1,70,UC,UC,57078,2013-03-13T13:43:00Z,2013-03-13T13:43:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,22,7,7,551626.05,6402360.71,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-32.514855,141.549646,SW,NSW,2013-03-13,1,141.549646,-32.514855
NSABHC0020-57599,NSABHC0020,2013-03-15T00:00:00Z,BHC,SAN,PLA,1,360,KS,KS,57599,2013-03-14T00:00:00Z,2013-03-14T00:00:00Z,NC,NC,NC,NC,7,NC,WET,DRY,22,7,7,547156.1,6430102.29,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-32.264805,141.500681,SW,NSW,2013-03-14,1,141.500681,-32.264805
NSABHC0021-57098,NSABHC0021,2014-04-19T00:00:00Z,BHC,ALP,PLA,0,"",,NC,57098,2014-04-19T00:00:00Z,2014-04-19T00:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,22,7,7,581907.48,6445925.41,54,"",GPS,P,"",TRUE,TRUE,TRUE,-32.120072,141.868274,SW,NSW,2014-04-19,1,141.868274,-32.120072
NSABHC0022-57086,NSABHC0022,2014-04-19T00:00:00Z,BHC,PLA,PLA,0,"",,,57086,2014-04-19T00:00:00Z,2014-04-19T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,AVG,22,7,7,641066,6606483,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-30.666082,142.472433,SW,NSW,2014-04-19,1,142.472433,-30.666082
NSABHC0023-57099,NSABHC0023,2014-04-21T00:00:00Z,BHC,PLA,PLA,0,"",,NC,57099,2014-04-21T00:00:00Z,2014-04-21T00:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,22,7,7,608114,6531721,54,WGS84,"",P,"",TRUE,TRUE,TRUE,-31.34395,142.136552777778,SW,NSW,2014-04-21,1,142.136552777778,-31.34395
NSABHC0024-57100,NSABHC0024,2014-04-22T00:00:00Z,BHC,PLA,PLA,0,"",,NC,57100,2014-04-22T00:00:00Z,2014-04-22T00:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,22,7,7,609249,6531394,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-31.3467916666667,142.148516666667,SW,NSW,2014-04-22,1,142.148516666667,-31.3467916666667
NSABHC0025-57101,NSABHC0025,2014-06-02T00:00:00Z,BHC,PLA,PLA,0,"",,,57101,2014-06-02T00:00:00Z,2014-06-02T00:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,22,7,7,,,54,WGS84,"",P,"",TRUE,TRUE,TRUE,-32.420531,141.535447,SW,NSW,2014-06-02,1,141.535447,-32.420531
NSABHC0026-57102,NSABHC0026,2014-06-04T00:00:00Z,BHC,PLA,PLA,0,"",,NC,57102,2014-06-04T00:00:00Z,2014-06-04T00:00:00Z,NC,NC,NC,NC,7,NC,WET,AVG,22,7,7,620072,6483469,54,WGS84,"",P,"",TRUE,TRUE,TRUE,-31.778032,142.268019,SW,NSW,2014-06-04,1,142.268019,-31.778032
NSABHC0028-58027,NSABHC0028,2016-09-12T13:10:42Z,BHC,RIS,HSL,50,"",SH,SA,58027,2016-09-12T13:10:42Z,2016-09-12T13:10:42Z,G,3,A,Z,3,1L,WET,FFR,1,11,1,568439.136,6562872.448,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-31.0659777777778,141.717325,SW,NSW,2016-09-12,1,141.717325,-31.0659777777778
NSABHC0029-58028,NSABHC0029,2016-09-12T15:35:12Z,BHC,ALP,SWP,2,170,,NC,58028,2016-09-12T15:35:12Z,2016-09-12T15:35:12Z,B,2,A,NC,2,1L,WET,AVG,1,11,1,563868.012,6563319.948,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-31.0621666666667,141.669402777778,SW,NSW,2016-09-12,1,141.669402777778,-31.0621666666667
NSACHC0001-58574,NSACHC0001,2018-04-17T11:40:00Z,CHC,RIS,HSL,5,45,ME,NC,58574,2018-04-17T09:44:11Z,2018-04-17T09:44:11Z,W,2,S,ND,5,1L,DRY,DRY,1,31,1,622648,6742013,54,GDA94,"",P,"",TRUE,TRUE,TRUE,-29.4453861111111,142.264755555556,SW,NSW,2018-04-17,1,142.264755555556,-29.4453861111111
NSACHC0002-58558,NSACHC0002,2018-04-17T14:04:50Z,CHC,FLO,STC,0,"",,NC,58558,2018-04-17T14:04:50Z,2018-04-17T14:04:50Z,W,2,A,ND,3,1M,DRY,DRY,1,31,1,614644,6757458,54,GDA94,TABLET,P,"",TRUE,TRUE,TRUE,-29.3067333333333,142.180561111111,SW,NSW,2018-04-17,1,142.180561111111,-29.3067333333333
NSACHC0003-58575,NSACHC0003,2018-04-18T12:44:00Z,CHC,PLA,STC,1,90,,,58575,2018-04-18T11:15:14Z,2018-04-18T11:15:14Z,W,3,S,ND,4,1M,DRY,DRY,1,31,1,587042,6768064,54,GDA94,"",P,"",TRUE,TRUE,TRUE,-29.2130861111111,141.895477777778,SW,NSW,2018-04-18,1,141.895477777778,-29.2130861111111
NSACHC0004-58576,NSACHC0004,2018-04-18T14:38:00Z,CHC,LOW,HSL,4,"",,NC,58576,2018-04-18T15:51:01Z,2018-04-18T15:51:01Z,W,1,S,ND,3,1L,DRY,DRY,30,31,30,584151,6784375,54,GDA94,TABLET,P,"",TRUE,TRUE,TRUE,-29.06618333,141.8645194,SW,NSW,2018-04-18,1,141.8645194,-29.06618333
NSACOP0001-58551,NSACOP0001,2018-04-10T11:32:44Z,COP,FLO,FLD,0,"",,NAP,58551,2018-04-10T11:32:44Z,2018-04-10T11:32:44Z,n/a,X,n/a,ND,3,1L,DRY,DRY,1,31,1,363047,6393116,55,WGS84,TABLET,P,"",TRUE,TRUE,TRUE,-32.5910611111111,145.540680555556,SW,NSW,2018-04-10,1,145.540680555556,-32.5910611111111
NSACOP0002-58552,NSACOP0002,2018-04-11T15:01:29Z,COP,HIL,FAN,2,0,,,58552,2018-04-11T15:01:29Z,2018-04-11T15:01:29Z,W,1,S,ND,3,1M,DRY,DRY,1,31,1,374759,6391757,55,WGS84,TABLET,P,"",TRUE,TRUE,TRUE,-32.6045194444444,145.665288888889,SW,NSW,2018-04-11,1,145.665288888889,-32.6045194444444
NSAMDD0001-56965,NSAMDD0001,2014-05-27T00:00:00Z,MDD,PLA,PLA,1,360,,NC,56965,2014-05-27T00:00:00Z,2014-05-27T00:00:00Z,n/a,X,n/a,NH,5,0,WET,FFR,3,2,3,643774,6216357,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-34.1839194444444,142.560225,SW,NSW,2014-05-27,1,142.560225,-34.1839194444444
NSAMDD0002-56952,NSAMDD0002,2014-05-28T00:00:00Z,MDD,SAN,DUS,1,135,,,56952,2014-05-28T00:00:00Z,2014-05-28T00:00:00Z,n/a,X,n/a,Z,4,0,WET,FFR,1,2,1,647643,6213973,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-34.2048166666667,142.602588888889,SW,NSW,2014-05-28,1,142.602588888889,-34.2048166666667
NSAMDD0003-56968,NSAMDD0003,2014-05-28T00:00:00Z,MDD,DUN,SWL,0,"",,NC,56968,2014-05-28T00:00:00Z,2014-05-28T00:00:00Z,n/a,X,n/a,Z,4,0,WET,AVG,3,2,3,647879,6213770,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-34.2075416666667,142.604063888889,SW,NSW,2014-05-28,1,142.604063888889,-34.2075416666667
NSAMDD0004-56953,NSAMDD0004,2014-05-29T00:00:00Z,MDD,SAN,PLA,0,"",,,56953,2014-05-29T00:00:00Z,2014-05-29T00:00:00Z,n/a,X,n/a,Z,4,0,WET,FFR,1,2,1,643728,6218402,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-34.1653666666667,142.5594,SW,NSW,2014-05-29,1,142.5594,-34.1653666666667
NSAMDD0005-56969,NSAMDD0005,2014-05-30T16:11:00Z,MDD,SAN,PLA,1,"",NC,NC,56969,2014-05-30T00:00:00Z,2014-05-30T00:00:00Z,R,1,P,Z,4,0,WET,AVG,3,2,3,704468,6273882,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.6561944444444,143.203866666667,SW,NSW,2014-05-30,1,143.203866666667,-33.6561944444444
NSAMDD0006-56954,NSAMDD0006,2014-05-30T00:00:00Z,MDD,SAN,PLA,1,135,,,56954,2014-05-30T00:00:00Z,2014-05-30T00:00:00Z,n/a,X,n/a,NH,4,0,WET,AVG,1,2,1,700968,6273053,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.6643194444444,143.166536111111,SW,NSW,2014-05-30,1,143.166536111111,-33.6643194444444
NSAMDD0007-56970,NSAMDD0007,2014-05-30T00:00:00Z,MDD,DUN,DUS,0,"",,NC,56970,2014-05-30T00:00:00Z,2014-05-30T00:00:00Z,n/a,X,n/a,Z,5,0,WET,AVG,3,2,3,515057,6306571,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.3799805555556,141.160811111111,SW,NSW,2014-05-30,1,141.160811111111,-33.3799805555556
NSAMDD0008-56955,NSAMDD0008,2014-06-01T00:00:00Z,MDD,SAN,PLA,0,"",,,56955,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,n/a,X,n/a,Z,4,0,WET,AVG,1,2,1,506695,6300938,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.4309611111111,141.072030555556,SW,NSW,2014-06-01,1,141.072030555556,-33.4309611111111
NSAMDD0009-56971,NSAMDD0009,2014-06-01T00:00:00Z,MDD,PLA,PLA,0,"",,,56971,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,S,1,P,NH,4,0,WET,AVG,3,2,3,506188,6299872,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.4404944444444,141.065522222222,SW,NSW,2014-06-01,1,141.065522222222,-33.4404944444444
NSAMDD0010-56956,NSAMDD0010,2014-06-02T00:00:00Z,MDD,SAN,DDE,0,"",,,56956,2014-06-02T00:00:00Z,2014-06-02T00:00:00Z,n/a,X,n/a,NH,4,0,WET,FFR,1,2,1,527294,6303492,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.4076027777778,141.293472222222,SW,NSW,2014-06-02,1,141.293472222222,-33.4076027777778
NSAMDD0011-56981,NSAMDD0011,2014-06-02T00:00:00Z,MDD,SAN,DUS,2,180,,NC,56981,2014-06-02T00:00:00Z,2014-06-02T00:00:00Z,R,1,S,Z,6,0,WET,AVG,3,2,3,501182,6300058,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.4388194444444,141.012675,SW,NSW,2014-06-02,1,141.012675,-33.4388194444444
NSAMDD0012-56957,NSAMDD0012,2014-06-03T00:00:00Z,MDD,DUN,PLY,0,"",,,56957,2014-06-03T00:00:00Z,2014-06-03T00:00:00Z,n/a,X,n/a,Z,2,0,WET,BurntN,1,2,1,524891,6319496,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.2631611111111,141.266244444444,SW,NSW,2014-06-03,1,141.266244444444,-33.2631611111111
NSAMDD0013-56982,NSAMDD0013,2014-06-06T00:00:00Z,MDD,DUN,DUS,1,360,,NC,56982,2014-06-04T12:00:00Z,2014-06-04T12:00:00Z,S,1,S,NH,6,0,WET,AVG,3,2,3,509915,6322355,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.2376527777778,141.106466666667,SW,NSW,2014-06-04,1,141.106466666667,-33.2376527777778
NSAMDD0014-56963,NSAMDD0014,2014-06-04T00:00:00Z,MDD,DUN,DUS,1,1,,,56963,2014-06-04T00:00:00Z,2014-06-04T00:00:00Z,n/a,X,n/a,Z,5,0,WET,FFR,1,2,1,517985,6330177,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.1679388888889,141.191816666667,SW,NSW,2014-06-04,1,141.191816666667,-33.1679388888889
NSAMDD0015-57636,NSAMDD0015,2014-06-05T14:52:00Z,MDD,PLA,PLA,0,"",,,57636,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z,S,1,S,Z,4,0,WET,AVG,3,2,3,508384,6314135,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.3118222222222,141.090063888889,SW,NSW,2014-06-05,1,141.090063888889,-33.3118222222222
NSAMDD0016-56973,NSAMDD0016,2014-06-05T00:00:00Z,MDD,SAN,PLA,2,"",,NC,56973,2014-06-05T00:00:00Z,2014-06-05T00:00:00Z,n/a,X,n/a,Z,5,0,WET,AVG,1,2,1,508465,6317411,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.2822888888889,141.089808333333,SW,NSW,2014-06-05,1,141.089808333333,-33.2822888888889
NSAMDD0017-57080,NSAMDD0017,2014-08-06T00:00:00Z,MDD,PLA,PLA,0,"",,NC,57080,2014-08-06T00:00:00Z,2014-08-06T00:00:00Z,n/a,X,n/a,Z,4,1L,DRY,DRY,3,17,3,367195,6273754,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.6687638888889,145.566383333333,SW,NSW,2014-08-06,1,145.566383333333,-33.6687638888889
NSAMDD0018-56976,NSAMDD0018,2014-08-06T14:33:43Z,MDD,PLA,PLA,0,"",,,56976,2014-08-06T14:33:43Z,2014-08-06T14:33:43Z,n/a,X,n/a,Z,3,0,DRY,FFR,1,17,1,387148,6285160,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.5672333333333,145.784008333333,SW,NSW,2014-08-06,1,145.784008333333,-33.5672333333333
NSAMDD0019-57081,NSAMDD0019,2014-08-07T11:05:01Z,MDD,PLA,PLA,0,"",,NC,57081,2014-08-07T11:05:01Z,2014-08-07T11:05:01Z,n/a,X,n/a,Z,4,0,DRY,AVG,3,17,3,378755,6326662,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.1921472222222,145.699369444444,SW,NSW,2014-08-07,1,145.699369444444,-33.1921472222222
NSAMDD0020-56984,NSAMDD0020,2014-08-07T16:29:11Z,MDD,PLA,SWP,0,"",,,56984,2014-08-07T16:29:11Z,2014-08-07T16:29:11Z,n/a,X,n/a,Z,2,0,DRY,DRY,1,17,1,379730,6325145,55,WGS84,"",P,"",TRUE,TRUE,TRUE,-33.2068027777778,145.708558333333,SW,NSW,2014-08-07,1,145.708558333333,-33.2068027777778
NSAMDD0021-57082,NSAMDD0021,2014-08-08T12:29:16Z,MDD,SAN,PLA,0,"",,NC,57082,2014-08-08T12:29:16Z,2014-08-08T12:29:16Z,n/a,X,n/a,Z,4,0,DRY,DRY,3,17,3,380431,6325713,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.2008361111111,145.717186111111,SW,NSW,2014-08-08,1,145.717186111111,-33.2008361111111
NSAMDD0022-56985,NSAMDD0022,2014-08-09T08:19:04Z,MDD,PLA,PLA,0.5,180,,,56985,2014-08-09T08:19:04Z,2014-08-09T08:19:04Z,n/a,X,n/a,Z,4,0,DRY,DRY,1,17,1,384473,6323058,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.2252222222222,145.760172222222,SW,NSW,2014-08-09,1,145.760172222222,-33.2252222222222
NSAMDD0023-57083,NSAMDD0023,2014-08-10T08:59:38Z,MDD,PLA,PLA,1,"",,NC,57083,2014-08-10T08:59:38Z,2014-08-10T08:59:38Z,n/a,X,n/a,U,3,0,DRY,DRY,3,17,3,279659,6380615,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-32.6900916666667,144.649777777778,SW,NSW,2014-08-10,1,144.649777777778,-32.6900916666667
NSAMDD0024-56986,NSAMDD0024,2014-08-10T14:05:25Z,MDD,PLA,DDE,0,"",,,56986,2014-08-10T14:05:25Z,2014-08-10T14:05:25Z,n/a,X,n/a,Z,3,0,DRY,DRY,1,17,1,277555,6381451,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-32.6822083333333,144.627461111111,SW,NSW,2014-08-10,1,144.627461111111,-32.6822083333333
NSAMDD0025-57084,NSAMDD0025,2014-08-12T00:00:00Z,MDD,PLA,SWP,0,"",,NC,57084,2014-08-12T00:00:00Z,2014-08-12T00:00:00Z,n/a,X,n/a,H,3,NC,DRY,DRY,3,17,3,238927,6499741,55,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-31.6085916666667,144.246994444444,SW,NSW,2014-08-12,1,144.246994444444,-31.6085916666667
NSAMDD0026-56987,NSAMDD0026,2014-08-12T14:26:59Z,MDD,PLA,PLA,1,"",,,56987,2014-08-12T14:26:59Z,2014-08-12T14:26:59Z,n/a,X,n/a,NH,3,0,DRY,DRY,1,13,1,234524,6497494,55,WGS84,"",P,"",TRUE,TRUE,TRUE,-31.6280111111111,144.201152777778,SW,NSW,2014-08-12,1,144.201152777778,-31.6280111111111
