site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
SASMDD0004-56997,SASMDD0004,2015-04-23T15:32:10Z,RIV,FLO,PLA,0,"",,NC,56997,2015-04-23T15:32:10Z,2015-04-23T15:32:10Z,n/a,X,n/a,TM,4,0,WET,AVG,1,11,1,475488,6238173,54,WGS84,DGPS,NC,"",TRUE,TRUE,TRUE,-33.9967638888889,140.734627777778,SW,SA,2015-04-23,2,140.734627777778,-33.9967638888889
SASMDD0004-57013,SASMDD0004,2015-04-23T15:32:10Z,RIV,FLO,PLA,0,"",,NC,57013,2013-01-22T00:00:00Z,2013-01-22T00:00:00Z,NC,NC,NC,TM,7,NC,DRY,DRY,11,11,11,475492.3,6238171,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.9967638888889,140.734627777778,SW,SA,2013-01-22,1,140.734627777778,-33.9967638888889
SASMDD0005-53712,SASMDD0005,2012-09-24T00:00:00Z,MDD,DUN,DUS,2,180,NC,NC,53712,2012-09-24T00:00:00Z,2012-09-24T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,19,2,19,474668,6240658,54,GDA94,GPS,P,"",TRUE,TRUE,TRUE,-33.9743111111111,140.725780555556,SW,SA,2012-09-24,1,140.725780555556,-33.9743111111111
SASMDD0005-57006,SASMDD0005,2012-09-24T00:00:00Z,MDD,DUN,DUS,2,180,NC,NC,57006,2015-04-29T09:20:44Z,2015-04-29T09:20:44Z,S,1,P,VM,3,2,WET,FFR,1,11,1,474666,6240661,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-33.9743111111111,140.725780555556,SW,SA,2015-04-29,2,140.725780555556,-33.9743111111111
SASMDD0006-53713,SASMDD0006,2012-09-25T00:00:00Z,MDD,DUN,DUC,1,180,NC,NC,53713,2012-09-25T00:00:00Z,2012-09-25T00:00:00Z,NC,NC,NC,NC,7,NC,DRY,DRY,19,2,19,474805,6240832,54,GDA94,GPS,P,"",TRUE,TRUE,TRUE,-33.9727416666667,140.727261111111,SW,SA,2012-09-25,1,140.727261111111,-33.9727416666667
SASMDD0006-57007,SASMDD0006,2012-09-25T00:00:00Z,MDD,DUN,DUC,1,180,NC,NC,57007,2015-04-29T17:10:59Z,2015-04-29T17:10:59Z,S,1,P,U,3,2,WET,AVG,1,17,1,474803,6240830,54,WGS84,"",P,"",TRUE,TRUE,TRUE,-33.9727416666667,140.727261111111,SW,SA,2015-04-29,2,140.727261111111,-33.9727416666667
SASMDD0006-58759,SASMDD0006,2012-09-25T00:00:00Z,MDD,DUN,DUC,1,180,NC,NC,58759,2019-05-01T11:26:50Z,2019-05-01T11:26:50Z,W,1,P,NH,3,0,DRY,DRY,13,13,13,474799.8,6240835.6,54,WGS84,TABLET,P,"",TRUE,TRUE,TRUE,-33.9727416666667,140.727261111111,SW,SA,2019-05-01,3,140.727261111111,-33.9727416666667
SASMDD0008-57062,SASMDD0008,2015-04-26T08:29:02Z,RIV,FLO,FLD,0,"",,NC,57062,2012-03-08T00:00:00Z,2012-03-08T00:00:00Z,G,1,S,Z,3,1L,DRY,DRY,11,11,11,477879,6232920,54,WGS84,GPS,P,3VEADGSCDERR-,TRUE,TRUE,TRUE,-34.0441527777778,140.76035,SW,SA,2012-03-08,1,140.76035,-34.0441527777778
SASMDD0008-57638,SASMDD0008,2015-04-26T08:29:02Z,RIV,FLO,FLD,0,"",,NC,57638,2015-04-26T08:29:02Z,2015-04-26T08:29:02Z,G,2,S,ND,2,1L,WET,AVG,1,17,1,477878,6232919,54,WGS84,GPS,P,"",TRUE,TRUE,TRUE,-34.0441527777778,140.76035,SW,SA,2015-04-26,2,140.76035,-34.0441527777778
SASMDD0008-58757,SASMDD0008,2015-04-26T08:29:02Z,RIV,FLO,FLD,0,"",,NC,58757,2019-04-30T10:39:02Z,2019-04-30T10:39:02Z,G,1,S,NH,3,0,DRY,DRY,30,32,30,477880,6232922.6,54,WGS84,TABLET,P,"",TRUE,TRUE,TRUE,-34.0441527777778,140.76035,SW,SA,2019-04-30,3,140.76035,-34.0441527777778
